,cor,p,ratio
sonar_java:S1700,4.32081598714717,0.3827541251205605,13.690000000000017
sonar_java:S1452,2.3480126660151006,0.00012738997568802955,12.250000000000016
sonar_java:S1192,2.4358135227505238,0.01211040496424829,12.960000000000017
sonar_java:S1155,1.7656125481681146,0.27811980076990994,13.690000000000017
sonar_java:S1488,2.7725888666902727,0.6921509425123662,13.690000000000017
sonar_java:S6548,3.1539269725308783,0.003919235038783437,12.250000000000016
sonar_java:S108,1.0668448186761121,4.555007622848707e-09,12.960000000000017
sonar_java:S1940,1.0986122886898184,0.9117886542713033,13.690000000000017
sonar_java:S127,3.56200966645434,0.026563515598074076,12.960000000000017
sonar_java:S3776,2.9939915848480587,2.545866737159886e-06,10.890000000000013
sonar_java:S1845,3.886577177148105,0.21446569737905596,12.960000000000017
sonar_java:S3038,4.918260206597568,0.223651260888322,12.960000000000017
sonar_java:S1133,1.6734903037442472,4.521809263745733e-11,11.560000000000015
sonar_java:S4719,1.594413117276058,0.04359876718995325,13.690000000000017
sonar_java:S3973,3.610917912647136,0.6060304295520808,13.690000000000017
sonar_java:S6213,0.8561410442104769,0.6592918871731253,13.690000000000017
sonar_java:S107,2.3111403629968668,2.044130800597652e-05,12.960000000000017
sonar_java:S1948,1.8010532358794826,3.9357008333357634e-08,10.890000000000013
sonar_java:S1066,3.4358518988272797,0.21084539626707854,12.960000000000017
sonar_java:S1165,0.3465735969546678,0.9443234082064291,13.690000000000017
sonar_java:S2178,0.9400042212778463,0.10773019229087874,12.960000000000017
sonar_java:S4144,3.109753243868035,0.3743525016437418,13.690000000000017
sonar_java:S2176,1.2039728043286198,0.8334187260555999,13.690000000000017
sonar_java:S2160,2.316148808966834,6.948889359357058e-09,10.890000000000013
sonar_java:S3626,3.056356897893561,0.5370384029647024,13.690000000000017
sonar_java:S2387,2.5477759909013193,0.10802483271353018,12.960000000000017
sonar_java:S106,1.6867495431181978,0.7033121169529089,13.690000000000017
sonar_java:S1301,3.367296114141406,0.7338029492071986,13.690000000000017
sonar_java:S1118,2.970414466627993,0.2617092831542095,13.690000000000017
sonar_java:S1121,2.131296812519655,0.00014684190985789127,11.560000000000015
sonar_java:S3457,3.600229803902327,0.13379749078475722,12.960000000000017
sonar_java:S1874,2.794511422375522,2.0244924902220765e-05,12.960000000000017
sonar_java:S115,1.2036393042157116,0.6060304295520808,13.690000000000017
