,cor,p,ratio
pmd_CyclomaticComplexity:,2.839161949865816,5.280919968539866e-10,9.610000000000012
pmd_CouplingBetweenObjects:,3.9995661558948643,8.983409861123027e-05,8.410000000000009
pmd_GodClass:,4.293494409106736,0.000348846019646628,8.410000000000009
pmd_MutableStaticState:,4.016383103622141,0.5661796038708407,13.690000000000017
pmd_CognitiveComplexity:,2.870620032871973,1.877555314674702e-07,10.890000000000013
pmd_MethodReturnsInternalArray:,3.0231312615282198,0.3597334336272121,13.690000000000017
pmd_ExcessiveImports:,4.36030811071924,0.012727116660973817,10.890000000000013
pmd_LooseCoupling:,0.7910085054627917,4.3881214569597703e-29,9.00000000000001
pmd_NPathComplexity:,3.685784048217786,0.05306461513996818,12.250000000000016
pmd_AvoidDuplicateLiterals:,3.267071726189753,3.9862183575353986e-05,9.00000000000001
pmd_DataClass:,4.132203734186324,0.18688469835387123,12.960000000000017
pmd_AvoidDeeplyNestedIfStmts:,2.7080502070826427,0.6989686213902535,13.690000000000017
pmd_LawOfDemeter:,0.9909342553305307,2.8572960877402662e-39,10.890000000000013
pmd_ExcessiveParameterList:,1.0520786843719356,0.18725257326489186,13.690000000000017
pmd_NcssCount:,4.480173696154125,0.20057667090919706,12.960000000000017
