Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/android/guava/src/com/google/common/cache/ParametricNullness.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/cache/ReferenceEntry.java,23,2,3,18,1,3,16,3
/android/guava/src/com/google/common/cache/RemovalCause.java,8,0,1,7,1,6,0,1
/android/guava/src/com/google/common/cache/RemovalListener.java,5,2,1,2,1,0,1,3
/android/guava/src/com/google/common/cache/RemovalListeners.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/cache/RemovalNotification.java,5,0,1,4,1,0,3,1
/android/guava/src/com/google/common/cache/Striped64.java,37,19,3,15,2,17,16,2
/android/guava/src/com/google/common/cache/Weigher.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/AbstractBiMap.java,32,19,5,8,1,17,9,5
/android/guava/src/com/google/common/collect/AbstractIndexedListIterator.java,5,0,1,4,1,0,3,1
/android/guava/src/com/google/common/collect/AbstractIterator.java,16,6,1,9,3,8,4,1
/android/guava/src/com/google/common/collect/AbstractListMultimap.java,10,1,1,8,1,0,7,2
/android/guava/src/com/google/common/collect/AbstractMapBasedMultimap.java,55,23,5,27,1,15,32,7
/android/guava/src/com/google/common/collect/AbstractMapBasedMultiset.java,10,4,1,5,1,3,4,2
/android/guava/src/com/google/common/collect/AbstractMapEntry.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/AbstractMultimap.java,7,3,1,3,1,2,2,2
/android/guava/src/com/google/common/collect/AbstractMultiset.java,12,5,1,6,1,0,6,5
/android/guava/src/com/google/common/collect/AbstractNavigableMap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/AbstractRangeSet.java,3,1,1,1,1,0,1,1
/android/guava/src/com/google/common/collect/AbstractSequentialIterator.java,4,0,1,3,1,0,2,1
/android/guava/src/com/google/common/collect/AbstractSetMultimap.java,11,1,1,9,1,0,8,2
/android/guava/src/com/google/common/collect/AbstractSortedKeySortedSetMultimap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/AbstractSortedMultiset.java,4,2,1,1,1,1,1,1
/android/guava/src/com/google/common/collect/AbstractSortedSetMultimap.java,9,1,1,7,1,0,6,2
/android/guava/src/com/google/common/collect/AbstractTable.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/AllEqualOrdering.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/ArrayListMultimap.java,12,4,1,7,1,3,7,1
/android/guava/src/com/google/common/collect/ArrayListMultimapGwtSerializationDependencies.java,3,1,1,1,1,0,0,2
/android/guava/src/com/google/common/collect/ArrayTable.java,37,9,4,24,1,7,25,4
/android/guava/src/com/google/common/collect/BaseImmutableMultimap.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/BiMap.java,10,3,1,6,1,0,5,4
/android/guava/src/com/google/common/collect/BoundType.java,4,0,1,3,1,2,0,1
/android/guava/src/com/google/common/collect/ByFunctionOrdering.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/collect/CartesianList.java,5,3,1,1,1,3,0,1
/android/guava/src/com/google/common/collect/ClassToInstanceMap.java,4,0,1,3,1,0,2,1
/android/guava/src/com/google/common/collect/CollectCollectors.java,16,11,4,1,1,5,4,6
/android/guava/src/com/google/common/collect/Collections2.java,27,10,4,13,1,11,12,3
/android/guava/src/com/google/common/collect/CollectPreconditions.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/collect/CompactHashing.java,28,11,1,16,1,7,19,1
