,cor,p,ratio
sonar_java:S1700,2.6790999471254002,0.44410782498151025,7.840000000000009
sonar_java:S1659,2.1566146201227268,0.10620224976502915,7.840000000000009
sonar_java:S106,0.997413791044072,0.0001805257814838472,7.290000000000008
sonar_java:S1301,3.0910424533592638,0.7549233871450992,8.410000000000009
sonar_java:S1192,2.4453567193667367,0.0011595399226655945,6.760000000000008
sonar_java:S1155,3.3747797557183934,0.23767624387147013,7.840000000000009
sonar_java:S1488,3.258096538021506,0.5687406054174465,7.840000000000009
sonar_java:S6548,2.2587824703356576,0.5462873682780587,7.840000000000009
sonar_java:S1118,1.8381267295987023,0.0027583680348795044,7.840000000000009
sonar_java:S3398,3.0989936389144415,0.3222557673484149,7.840000000000009
sonar_java:S3457,1.4149639265852954,1.1404283380665666e-06,7.840000000000009
sonar_java:S1130,2.2214805176923886,0.23515914937960614,7.840000000000009
sonar_java:S2293,4.779123493147058,0.4948167608702422,7.840000000000009
sonar_java:S108,2.908720896567529,0.6109256255529631,7.840000000000009
sonar_java:S127,3.726776646478717,0.2587679746128074,7.840000000000009
sonar_java:S1181,2.8331518643637272,0.32161623583887444,7.840000000000009
sonar_java:S1874,1.1182818371603125,0.21228470873117977,7.840000000000009
sonar_java:S3776,2.6492586109375105,0.0004668682019270191,5.760000000000006
sonar_java:S1141,1.8576712482147808,0.5157712072569222,7.840000000000009
sonar_java:S112,1.7009186102351779,0.0013108208688577976,6.760000000000008
sonar_java:S1604,3.2580965380315505,0.7421283973925856,8.410000000000009
sonar_java:S1133,2.4582138879679443,0.3898491897075299,7.840000000000009
sonar_java:S4968,2.917770823138098,0.6769064146843109,7.840000000000009
sonar_java:S1186,3.304692978379766,0.16878330794727336,7.840000000000009
sonar_java:S1854,2.2454981832685563,0.2220569959589016,7.840000000000009
sonar_java:S1135,2.712785719143941,0.08709128987655461,6.760000000000008
sonar_java:S3011,1.154095200207839,0.6628173395707015,7.840000000000009
sonar_java:S1117,2.5907588917616606,0.00030965976326313385,6.760000000000008
sonar_java:S107,1.6200139598111516,0.3009535695541323,7.840000000000009
sonar_java:S1948,2.6777528462981577,0.16796591151045814,7.840000000000009
sonar_java:S1165,0.9397313325580252,0.6956725611414435,8.410000000000009
sonar_java:S135,3.719760780112183,0.0929010307243871,7.290000000000008
sonar_java:S6541,3.879002167498891,0.23984063168387992,7.290000000000008
sonar_java:S1452,1.386294361560038,0.8432172950200413,8.410000000000009
sonar_java:S125,4.2008464581141505,0.20304320496036332,7.290000000000008
sonar_java:S1905,1.9059709936941946,0.4413289820274642,7.840000000000009
