Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/common/network-common/src/main/java/org/apache/spark/network/protocol/ChunkFetchRequest.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/ChunkFetchSuccess.java,4,0,1,3,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encodable.java,4,0,1,3,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,18,8,1,9,1,8,8,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/EncryptedMessageWithHeader.java,3,0,1,2,1,0,0,2
/common/network-common/src/main/java/org/apache/spark/network/protocol/MergedBlockMetaRequest.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/MergedBlockMetaSuccess.java,4,0,1,3,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/Message.java,6,0,1,5,1,0,4,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/MessageDecoder.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/MessageEncoder.java,10,7,1,2,1,7,1,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/MessageWithHeader.java,12,7,1,4,2,7,3,0
/common/network-common/src/main/java/org/apache/spark/network/protocol/OneWayMessage.java,7,5,1,1,1,5,0,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/RequestMessage.java,3,1,1,1,1,0,0,2
/common/network-common/src/main/java/org/apache/spark/network/protocol/ResponseMessage.java,3,1,1,1,1,0,0,2
/common/network-common/src/main/java/org/apache/spark/network/protocol/RpcFailure.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/RpcRequest.java,8,5,1,2,1,5,1,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/RpcResponse.java,7,5,1,1,1,5,0,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/SslMessageEncoder.java,12,9,1,2,1,9,1,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/StreamChunkId.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/StreamFailure.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/StreamRequest.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/StreamResponse.java,3,0,1,2,1,0,1,1
/common/network-common/src/main/java/org/apache/spark/network/protocol/UploadStream.java,9,6,1,2,1,4,2,2
/common/network-common/src/main/java/org/apache/spark/network/sasl/SaslClientBootstrap.java,5,2,1,2,1,2,1,1
/common/network-common/src/main/java/org/apache/spark/network/sasl/SaslEncryption.java,15,7,1,7,1,7,6,1
/common/network-common/src/main/java/org/apache/spark/network/sasl/SaslEncryptionBackend.java,4,0,1,3,1,0,3,0
/common/network-common/src/main/java/org/apache/spark/network/sasl/SaslMessage.java,8,5,1,2,1,5,1,1
/common/network-common/src/main/java/org/apache/spark/network/sasl/SaslRpcHandler.java,11,6,1,4,1,6,3,1
/common/network-common/src/main/java/org/apache/spark/network/sasl/SaslServerBootstrap.java,3,0,1,2,1,0,1,1
/common/network-common/src/main/java/org/apache/spark/network/sasl/SaslTimeoutException.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/sasl/SecretKeyHolder.java,4,0,1,3,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/sasl/SparkSaslClient.java,10,2,1,7,1,2,6,1
/common/network-common/src/main/java/org/apache/spark/network/sasl/SparkSaslServer.java,20,5,2,13,1,5,13,1
/common/network-common/src/main/java/org/apache/spark/network/server/AbstractAuthRpcHandler.java,4,0,1,3,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/server/BlockPushNonFatalFailure.java,18,4,1,13,1,8,8,1
/common/network-common/src/main/java/org/apache/spark/network/server/ChunkFetchRequestHandler.java,4,0,1,3,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/server/MessageHandler.java,6,0,1,5,1,0,4,1
/common/network-common/src/main/java/org/apache/spark/network/server/NoOpRpcHandler.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/server/OneForOneStreamManager.java,19,15,1,3,1,4,12,2
/common/network-common/src/main/java/org/apache/spark/network/server/RpcHandler.java,12,1,1,10,1,1,9,1
/common/network-common/src/main/java/org/apache/spark/network/server/StreamManager.java,11,0,1,10,1,0,9,1
/common/network-common/src/main/java/org/apache/spark/network/server/TransportChannelHandler.java,12,8,1,3,1,8,2,1
/common/network-common/src/main/java/org/apache/spark/network/server/TransportRequestHandler.java,24,14,1,9,1,14,8,1
/common/network-common/src/main/java/org/apache/spark/network/server/TransportServer.java,6,1,3,2,1,3,1,1
/common/network-common/src/main/java/org/apache/spark/network/server/TransportServerBootstrap.java,3,0,1,2,1,0,1,1
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/DB.java,6,0,1,5,1,0,4,1
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/DBBackend.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/DBIterator.java,2,0,1,1,1,0,1,0
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/LevelDB.java,1,0,1,0,1,0,0,0
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/LevelDBIterator.java,1,0,1,0,1,0,0,0
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/RocksDB.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/RocksDBIterator.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/StoreVersion.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/ssl/ReloadingX509TrustManager.java,9,3,1,5,1,2,5,1
/common/network-common/src/main/java/org/apache/spark/network/ssl/SSLFactory.java,22,5,1,16,1,5,16,0
/common/network-common/src/main/java/org/apache/spark/network/TransportContext.java,22,10,3,9,1,7,11,3
/common/network-common/src/main/java/org/apache/spark/network/util/AbstractFileRegion.java,1,0,1,0,1,0,0,0
/common/network-common/src/main/java/org/apache/spark/network/util/ByteArrayReadableChannel.java,1,0,1,0,1,0,0,0
/common/network-common/src/main/java/org/apache/spark/network/util/ByteArrayWritableChannel.java,4,0,1,3,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/util/ConfigProvider.java,4,0,1,3,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/util/CryptoUtils.java,4,1,1,2,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/util/DBProvider.java,1,0,1,0,null,null,null,null
/common/network-common/src/main/java/org/apache/spark/network/util/IOMode.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/util/LevelDBProvider.java,6,3,1,2,1,3,1,1
/common/network-common/src/main/java/org/apache/spark/network/util/LimitedInputStream.java,4,1,1,2,1,0,2,1
/common/network-common/src/main/java/org/apache/spark/network/util/MapConfigProvider.java,2,0,1,1,1,0,0,1
/common/network-common/src/main/java/org/apache/spark/network/util/NettyLogger.java,3,1,1,1,1,1,1,0
/common/network-common/src/main/java/org/apache/spark/network/util/NettyMemoryMetrics.java,7,5,1,1,1,5,0,1
/common/network-common/src/main/java/org/apache/spark/network/util/NettyUtils.java,21,8,1,12,1,8,11,1
/common/network-common/src/main/java/org/apache/spark/network/util/RocksDBProvider.java,9,4,3,2,1,6,1,1
/common/network-common/src/main/java/org/apache/spark/network/util/TimerWithCustomTimeUnit.java,3,1,1,1,1,1,0,1
/common/network-common/src/main/java/org/apache/spark/network/util/TransportConf.java,60,2,1,57,1,2,56,1
/common/network-common/src/main/java/org/apache/spark/network/util/TransportFrameDecoder.java,25,18,1,6,1,18,5,1
/common/network-common/src/test/java/org/apache/spark/network/ChunkFetchIntegrationSuite.java,2,1,1,0,1,0,1,0
/common/network-common/src/test/java/org/apache/spark/network/ChunkFetchRequestHandlerSuite.java,3,2,1,0,1,2,0,0
/common/network-common/src/test/java/org/apache/spark/network/client/SslTransportClientFactorySuite.java,1,0,1,0,1,0,0,0
/common/network-common/src/test/java/org/apache/spark/network/client/TransportClientFactorySuite.java,8,6,1,1,1,6,1,0
/common/network-common/src/test/java/org/apache/spark/network/crypto/AuthEngineSuite.java,8,7,1,0,1,6,1,0
/common/network-common/src/test/java/org/apache/spark/network/crypto/AuthIntegrationSuite.java,7,6,1,0,1,6,0,0
/common/network-common/src/test/java/org/apache/spark/network/crypto/AuthMessagesSuite.java,1,0,1,0,1,0,0,0
/common/network-common/src/test/java/org/apache/spark/network/crypto/TransportCipherSuite.java,2,1,1,0,1,1,0,0
/common/network-common/src/test/java/org/apache/spark/network/ExtendedChannelPromise.java,2,1,1,0,1,1,0,0
/common/network-common/src/test/java/org/apache/spark/network/protocol/EncodersSuite.java,3,1,1,1,1,1,0,1
/common/network-common/src/test/java/org/apache/spark/network/protocol/EncryptedMessageWithHeaderSuite.java,19,18,1,0,1,14,2,2
/common/network-common/src/test/java/org/apache/spark/network/protocol/MergedBlockMetaSuccessSuite.java,3,1,1,1,1,1,0,1
/common/network-common/src/test/java/org/apache/spark/network/protocol/MessageWithHeaderSuite.java,2,0,1,1,1,0,1,0
/common/network-common/src/test/java/org/apache/spark/network/ProtocolSuite.java,4,2,1,1,1,2,1,0
/common/network-common/src/test/java/org/apache/spark/network/RequestTimeoutIntegrationSuite.java,21,18,1,2,1,12,5,3
/common/network-common/src/test/java/org/apache/spark/network/RpcIntegrationSuite.java,7,6,1,0,1,6,0,0
/common/network-common/src/test/java/org/apache/spark/network/sasl/SparkSaslSuite.java,18,15,1,2,1,15,1,1
/common/network-common/src/test/java/org/apache/spark/network/server/OneForOneStreamManagerSuite.java,9,8,1,0,1,8,0,0
/common/network-common/src/test/java/org/apache/spark/network/ssl/ReloadingX509TrustManagerSuite.java,21,12,1,8,1,12,8,0
/common/network-common/src/test/java/org/apache/spark/network/ssl/SSLFactorySuite.java,3,2,1,0,1,2,0,0
/common/network-common/src/test/java/org/apache/spark/network/ssl/SslSampleConfigs.java,12,4,1,7,1,4,7,0
/common/network-common/src/test/java/org/apache/spark/network/SslChunkFetchIntegrationSuite.java,1,0,1,0,1,0,0,0
/common/network-common/src/test/java/org/apache/spark/network/StreamSuite.java,2,1,1,0,1,1,0,0
/common/network-common/src/test/java/org/apache/spark/network/StreamTestHelper.java,1,0,1,0,1,0,0,0
/common/network-common/src/test/java/org/apache/spark/network/TestManagedBuffer.java,2,0,1,1,1,0,0,1
/common/network-common/src/test/java/org/apache/spark/network/TestUtils.java,1,0,1,0,1,0,0,0
/common/network-common/src/test/java/org/apache/spark/network/TransportConfSuite.java,1,0,1,0,1,0,0,0
/common/network-common/src/test/java/org/apache/spark/network/TransportRequestHandlerSuite.java,5,4,1,0,1,4,0,0
/common/network-common/src/test/java/org/apache/spark/network/TransportResponseHandlerSuite.java,6,5,1,0,1,5,0,0
/common/network-common/src/test/java/org/apache/spark/network/util/CryptoUtilsSuite.java,1,0,1,0,1,0,0,0
/common/network-common/src/test/java/org/apache/spark/network/util/DBProviderSuite.java,1,0,1,0,1,0,0,0
/common/network-common/src/test/java/org/apache/spark/network/util/JavaUtilsSuite.java,5,4,1,0,1,4,0,0
/common/network-common/src/test/java/org/apache/spark/network/util/NettyMemoryMetricsSuite.java,3,2,1,0,1,2,0,0
/common/network-common/src/test/java/org/apache/spark/network/util/TimerWithCustomUnitSuite.java,2,0,1,1,1,0,0,1
/common/network-common/src/test/java/org/apache/spark/network/util/TransportFrameDecoderSuite.java,6,4,1,1,1,4,1,0
/common/network-shuffle/src/main/java/org/apache/spark/network/sasl/ShuffleSecretManager.java,12,5,1,6,1,3,6,2
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/AppsWithRecoveryDisabled.java,5,0,1,4,1,0,3,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/BlockFetchingListener.java,3,0,1,2,1,0,2,0
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/BlockPushingListener.java,4,0,1,3,1,0,2,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/BlockStoreClient.java,14,4,1,9,1,1,11,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/BlockTransferListener.java,5,0,1,4,1,0,3,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/checksum/Cause.java,2,0,1,1,1,0,0,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/checksum/ShuffleChecksumHelper.java,8,5,1,2,1,5,1,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/Constants.java,2,0,1,1,1,0,1,0
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/DownloadFile.java,5,0,1,4,1,0,3,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/DownloadFileManager.java,4,0,1,3,1,0,2,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/DownloadFileWritableChannel.java,2,0,1,1,1,0,0,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/ErrorHandler.java,12,6,1,5,1,6,4,1
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/ExecutorDiskUtils.java,8,6,1,1,1,6,1,0
