,cor,p,ratio
all_pmd,0.8730472072181753,1.0233448204490377e-20,4.840000000000004
all_rulebreaks,0.45378499917907994,3.352282801150007e-35,3.610000000000003
all_sonar,0.6433966115161937,3.692894589996985e-32,4.0000000000000036
