,cor,p,ratio
sonar_java:S1700,3.0285221074106734,0.5963038390979749,9.00000000000001
sonar_java:S1659,3.4760986901628734,0.543145279451229,9.00000000000001
sonar_java:S106,2.277353735500782,0.30364744361061,9.00000000000001
sonar_java:S1192,3.0514193418438023,0.009406195950654986,7.840000000000009
sonar_java:S1155,1.9589665700161218,0.6279992069249487,9.00000000000001
sonar_java:S1488,3.7927944811896572,0.10409976237178675,8.410000000000009
sonar_java:S6548,2.264363880173855,0.5179002544620508,9.00000000000001
sonar_java:S1118,2.5349170703631407,0.35609250336446896,9.00000000000001
sonar_java:S3398,3.0535351385771587,0.04076856680476045,9.00000000000001
sonar_java:S3457,2.501694578990046,9.688115473669095e-05,8.410000000000009
sonar_java:S1130,3.2293528532513904,0.09627927208054003,9.00000000000001
sonar_java:S2293,2.3496872249575778,0.4313298739688942,9.00000000000001
sonar_java:S108,3.4231762883844374,0.5493056444554401,9.00000000000001
sonar_java:S127,3.3749628395376194,0.4459064706879595,9.00000000000001
sonar_java:S1181,1.3154704298280764,0.5730388264881027,9.00000000000001
sonar_java:S1874,0.6885130747268671,1.4511967951867021e-11,8.410000000000009
sonar_java:S3776,3.0477604218496737,0.005312802462978326,7.840000000000009
sonar_java:S1141,2.9444391285954064,0.766208234405636,9.00000000000001
sonar_java:S112,2.847722567052731,0.003845153446864859,7.840000000000009
sonar_java:S1604,2.7832125687318903,0.18733745355379605,9.00000000000001
sonar_java:S1133,2.0851477324451535,0.008752948727630066,8.410000000000009
sonar_java:S4968,2.6885145394432337,0.5059778278383843,9.00000000000001
sonar_java:S1186,2.4908120310331774,0.3143392826737337,9.00000000000001
sonar_java:S1854,3.1023420115157,0.5309266342357557,9.00000000000001
sonar_java:S1135,3.313668772676842,0.0765619576118831,8.410000000000009
sonar_java:S3011,3.2054872499289133,0.13788759172717846,9.00000000000001
sonar_java:S1117,3.226929398275365,0.053825023804384795,8.410000000000009
sonar_java:S107,3.46573590291918,0.3912421910920606,9.00000000000001
sonar_java:S1948,2.29439933410384,0.0020490749626816173,8.410000000000009
sonar_java:S135,2.6336747180231423,0.3029925628340472,9.00000000000001
sonar_java:S6541,3.314900578440913,0.28972206391401767,9.00000000000001
sonar_java:S1452,2.194020159203324,0.0016349235257825286,8.410000000000009
sonar_java:S125,3.010177520498469,0.012168367635930148,8.410000000000009
sonar_java:S1905,1.5040773967779708,0.8300682200423928,9.00000000000001
