Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/core/src/com/google/inject/internal/FailableCache.java,4,2,1,1,1,2,0,1
/core/src/com/google/inject/internal/GenericErrorDetail.java,2,0,1,1,0,1,0,1
/core/src/com/google/inject/internal/GuiceInternal.java,1,0,0,1,0,0,0,1
/core/src/com/google/inject/internal/Indexer.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/Initializable.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/Initializables.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/Initializer.java,38,28,1,9,1,28,8,1
/core/src/com/google/inject/internal/InjectionRequestProcessor.java,12,7,3,2,1,8,2,1
/core/src/com/google/inject/internal/InjectorBindingData.java,7,4,1,2,1,1,4,1
/core/src/com/google/inject/internal/InjectorImpl.java,144,110,2,32,1,114,28,1
/core/src/com/google/inject/internal/InjectorJitBindingData.java,11,3,0,8,0,0,9,2
/core/src/com/google/inject/internal/InjectorOptionsProcessor.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/InjectorShell.java,21,14,1,6,1,13,6,1
/core/src/com/google/inject/internal/InstanceBindingImpl.java,2,1,1,0,1,1,0,0
/core/src/com/google/inject/internal/InterceptorBindingProcessor.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/InterceptorStackCallback.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/InternalClassesToSkipSources.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/InternalContext.java,8,0,1,7,1,0,6,1
/core/src/com/google/inject/internal/InternalErrorDetail.java,2,1,0,1,0,0,1,1
/core/src/com/google/inject/internal/InternalFactory.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/InternalFactoryToInitializableAdapter.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/InternalFactoryToProviderAdapter.java,7,5,1,1,1,5,0,1
/core/src/com/google/inject/internal/InternalFlags.java,20,0,1,19,1,11,7,1
/core/src/com/google/inject/internal/InternalInjectorCreator.java,19,11,1,7,1,11,6,1
/core/src/com/google/inject/internal/InternalProviderInstanceBindingImpl.java,12,4,0,8,0,6,5,1
/core/src/com/google/inject/internal/InternalProvisionException.java,16,11,1,4,1,11,3,1
/core/src/com/google/inject/internal/KotlinSupport.java,3,2,0,1,0,1,1,1
/core/src/com/google/inject/internal/KotlinSupportInterface.java,8,0,0,8,0,0,7,1
/core/src/com/google/inject/internal/LinkedBindingImpl.java,1,0,1,0,1,0,0,0
/core/src/com/google/inject/internal/LinkedProviderBindingImpl.java,1,0,1,0,1,0,0,0
/core/src/com/google/inject/internal/ListenerBindingProcessor.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/LookupProcessor.java,5,3,1,1,1,3,0,1
/core/src/com/google/inject/internal/Lookups.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/MembersInjectorImpl.java,19,17,1,1,1,15,1,2
/core/src/com/google/inject/internal/MembersInjectorStore.java,9,2,1,6,1,2,5,1
/core/src/com/google/inject/internal/MessageProcessor.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/Messages.java,18,8,1,9,1,8,8,1
/core/src/com/google/inject/internal/MethodAspect.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/MissingConstructorError.java,2,1,0,1,0,1,0,1
/core/src/com/google/inject/internal/MissingImplementationError.java,4,2,0,2,0,2,1,1
/core/src/com/google/inject/internal/MissingImplementationErrorHints.java,23,18,1,4,1,18,3,1
/core/src/com/google/inject/internal/ModuleAnnotatedMethodScannerProcessor.java,2,0,1,1,1,0,0,1
