,cor,p,ratio
sonar_java:S2234,3.6375861597381163,0.7133328824014395,12.250000000000016
sonar_java:S6541,3.973308442205817,0.00042890027033302085,11.560000000000015
sonar_java:S1185,2.1946167198713735,2.0583396794060984e-07,12.250000000000016
sonar_java:S4635,3.0445224465784197,0.7584987067109465,12.250000000000016
sonar_java:S1125,3.768319970649174,0.0025185675008788156,12.250000000000016
sonar_java:S1659,3.4221645294907823,0.004367583876350195,12.250000000000016
sonar_java:S3008,0.2298142979062163,1.935279342756296e-43,12.250000000000016
sonar_java:S1858,2.697665623798554,0.38889744393124226,12.250000000000016
sonar_java:S2438,3.5973122605888026,0.607389222662875,12.250000000000016
sonar_java:S1149,2.35766248913426,3.4489921514215157e-06,12.250000000000016
sonar_java:S1197,2.691812133501708,0.00013036741463209872,12.250000000000016
sonar_java:S1182,3.8394523125935,0.58341381443753,12.250000000000016
sonar_java:S3824,3.3099963121562506,0.00016486649882522272,11.560000000000015
sonar_java:S131,3.76932190111883,0.028738424016043186,12.250000000000016
sonar_java:S1168,3.0554620379946567,5.743699906616008e-06,11.560000000000015
sonar_java:S4968,2.397895273013061,0.7320647538158715,12.250000000000016
sonar_java:S2696,1.738608508901551,4.0594768411363095e-13,12.250000000000016
sonar_java:S1172,3.5415372142249817,0.0006014822041134025,11.560000000000015
sonar_java:S1075,2.4849066533333186,0.6638809430722513,12.250000000000016
sonar_java:S4929,1.609437917622665,0.870987810411128,12.250000000000016
sonar_java:S2129,3.7436043538373793,0.44953384464509083,12.250000000000016
sonar_java:S1214,3.8267492509885,0.008758156721382257,12.250000000000016
sonar_java:S2147,2.599113261389337,0.003464135460040685,12.250000000000016
sonar_java:S3878,2.020983006724351,7.746524971664701e-06,11.560000000000015
sonar_java:S1135,3.0362966976490133,2.976636402776264e-10,10.890000000000013
sonar_java:S128,1.8933909094562946,0.566140482792298,12.250000000000016
sonar_java:S1117,2.7524130442328185,0.006738481156053675,12.250000000000016
sonar_java:S2386,1.815851364647722,0.22914298534094113,12.250000000000016
sonar_java:S1171,2.0182739797053784,0.4801813482900662,12.250000000000016
sonar_java:S135,3.263264833048029,2.0948070505996137e-07,11.560000000000015
sonar_java:S2479,3.663561646145671,0.7113762798458896,12.250000000000016
sonar_java:S125,2.801459377614828,5.228607777680262e-15,10.890000000000013
sonar_java:S1905,5.117993952947175,0.4647288409219277,12.250000000000016
sonar_java:S1450,2.4786109276140884,0.002952868474220163,12.250000000000016
sonar_java:S5993,3.112693764733338,0.0010307890341917708,12.250000000000016
sonar_java:S3252,2.0149030241722867,0.7736276518338657,12.250000000000016
sonar_java:S1124,1.5908846045364218,5.145755472017202e-29,11.560000000000015
sonar_java:S3398,3.3535412277822614,0.003147805316094231,12.250000000000016
sonar_java:S1210,3.549617447624313,0.42277368082602973,12.250000000000016
sonar_java:S3516,2.236833715431371,0.453881585247526,12.250000000000016
sonar_java:S1134,3.074964385606132,0.44680504106521923,12.250000000000016
sonar_java:S1643,2.4498414813337446,0.0002760180355691758,12.250000000000016
sonar_java:S6539,5.405675891140619,0.34428818189377297,12.250000000000016
sonar_java:S1119,3.4670925437090716,0.39100798688315164,12.250000000000016
sonar_java:S1130,3.280243442767862,0.001316568628740093,12.250000000000016
sonar_java:S2293,4.700480380624957,0.6349480784983865,12.250000000000016
sonar_java:S1170,2.275540578377687,0.12739514288498416,12.250000000000016
sonar_java:S1181,3.2906984344923154,0.1585008584258546,12.250000000000016
sonar_java:S1141,3.2794194627175317,7.430030017858142e-06,11.560000000000015
sonar_java:S1193,3.574656685758632,0.4194557732910955,12.250000000000016
sonar_java:S112,2.6689622572635128,0.011924678919437869,12.250000000000016
sonar_java:S1319,2.2312469702931406,0.010779081817604404,12.250000000000016
sonar_java:S1604,3.8286413965805886,0.6989867772210658,12.250000000000016
sonar_java:S2589,3.540638813855002,6.38009053663734e-05,11.560000000000015
sonar_java:S1128,3.37297455903847,0.4039991659646185,12.250000000000016
sonar_java:S1199,4.101274759456766,0.3542799105716904,12.250000000000016
sonar_java:S1186,1.7152864161520127,6.876719955713672e-15,11.560000000000015
sonar_java:S1854,3.9029447827617068,0.015096057551045877,12.250000000000016
sonar_java:S6353,4.44265126184744,0.6536295249932951,12.250000000000016
sonar_java:S2864,3.1053550882194667,0.08076738791177256,12.250000000000016
sonar_java:S1602,3.403270679469345,0.3309370137279869,12.250000000000016
sonar_java:S4276,2.3978953366598263,0.7320647067951465,12.250000000000016
sonar_java:S1215,2.244318188149007,0.6502811614765325,12.250000000000016
sonar_java:S3358,4.127134385045129,0.4702933393109239,12.250000000000016
sonar_java:S1110,4.564348200448623,0.644783698226947,12.250000000000016
sonar_java:S3972,2.197224676510691,0.8244569329796254,12.250000000000016
sonar_java:S2388,3.628314928978292,0.41250894408165695,12.250000000000016
sonar_java:S2975,3.4812400893357234,0.4819495271135047,12.250000000000016
sonar_java:S2692,3.405019311693594,0.1150088197660491,12.250000000000016
sonar_java:S1612,3.135494215929239,0.20530355920700682,12.250000000000016
sonar_java:S1126,3.34490038399666,2.4465000983956237e-05,11.560000000000015
sonar_java:S3012,3.292353402309571,0.18348102519864973,12.250000000000016
